Otu81	d:Fungi(1.0000),p:Ascomycota(0.9000),c:Eurotiomycetes(0.8300),o:Verrucariales(0.7600),f:Verrucariaceae(0.6800),g:Verrucaria(0.2300),s:Verrucaria_funckii_SH187386.07FU(0.0600)	+	d:Fungi,p:Ascomycota,c:Eurotiomycetes
Otu85	d:Plantae(1.0000)	+	d:Plantae
Otu65	d:Fungi(1.0000),p:Ascomycota(0.9800),c:Leotiomycetes(0.9700),o:Helotiales(0.9700),f:Helotiales_fam_Incertae_sedis(0.8600),g:Chalara(0.8600),s:Calloria_urticae_SH529064.07FU(0.0400)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiales_fam_Incertae_sedis,g:Chalara
Otu72	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Leotiomycetes(1.0000),o:Helotiales(1.0000),f:Helotiaceae(1.0000),g:Tetracladium(1.0000)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Tetracladium
Otu82	d:Fungi(1.0000),p:Ascomycota(0.9800),c:Leotiomycetes(0.9700),o:Helotiales(0.9700),f:Helotiales_fam_Incertae_sedis(0.8600),g:Chalara(0.8600),s:Calloria_urticae_SH529064.07FU(0.0400)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiales_fam_Incertae_sedis,g:Chalara
Otu83	d:Fungi(1.0000),p:Ascomycota(0.9600),c:Dothideomycetes(0.6800),o:Pleosporales(0.6800),f:Melanommataceae(0.6800),g:Alpinaria(0.4600),s:Alpinaria_rhododendri_SH106794.07FU(0.4600)	+	d:Fungi,p:Ascomycota
Otu86	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000),g:Thanatephorus(0.1700),s:Thanatephorus_ochraceus_SH209356.07FU(0.0700)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu88	d:Fungi(1.0000),p:Ascomycota(0.3600),c:Leotiomycetes(0.2800),o:Helotiales(0.2800),f:Helotiales_fam_Incertae_sedis(0.1900),g:Mastigosporium(0.1300),s:Mastigosporium_album_SH213616.07FU(0.1300)	+	d:Fungi
Otu90	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Leotiomycetes(1.0000),o:Helotiales(1.0000),f:Dermateaceae(1.0000),g:Helgardia(1.0000),s:Helgardia_anguioides_SH186800.07FU(0.0400)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Dermateaceae,g:Helgardia
Otu94	d:Fungi(1.0000),p:Basidiomycota(0.8700),c:Microbotryomycetes(0.8700),o:Leucosporidiales(0.8100),f:Leucosporidiaceae(0.7700),g:Leucosporidium(0.7700),s:Leucosporidium_muscorum_SH193769.07FU(0.3500)	+	d:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Leucosporidiales
Otu84	d:Fungi(1.0000)	+	d:Fungi
Otu95	d:Fungi(1.0000),p:Ascomycota(0.8000),c:Sordariomycetes(0.8000),o:Xylariales(0.7900),f:Hyponectriaceae(0.5700),g:Monographella(0.5700),s:Monographella_nivalis_SH213511.07FU(0.5700)	+	d:Fungi,p:Ascomycota,c:Sordariomycetes
Otu93	d:Fungi(1.0000),p:Ascomycota(0.9300),c:Leotiomycetes(0.8500),o:Helotiales(0.8500)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales
Otu87	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Dothideomycetes(1.0000),o:Pleosporales(1.0000),f:Phaeosphaeriaceae(1.0000)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae
Otu97	d:Fungi(1.0000),p:Basidiomycota(0.9800),c:Agaricostilbomycetes(0.9800),o:Agaricostilbales(0.9800),f:Kondoaceae(0.9800),g:Bensingtonia(0.9800)	+	d:Fungi,p:Basidiomycota,c:Agaricostilbomycetes,o:Agaricostilbales,f:Kondoaceae,g:Bensingtonia
Otu96	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Leotiomycetes(1.0000)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes
