#metadata_combined_16S_2017_2018_harvest_years								
Sample	Primer	Frameshift	Experiment	Plate pos	Code	Site	Genotype	Harvest_Year
RM81L1S51	515	F1F3F5	HIF	51	10_10	GH_Tue	likeHIF:Est-1	2017
RM81L1S52	515	F1F3F5	HIF	52	10_27	GH_Tue	likeHIF:Col-0	2017
RM81L1S55	515	F1F3F5	HIF	55	9_05	GH_Tue	likeHIF:Col-0	2017
RM81L1S56	515	F1F3F5	HIF	56	9_34	GH_Tue	likeHIF:Col-0	2017
RM81L1S57	515	F1F3F5	HIF	57	9_40	GH_Tue	likeHIF:Est-1	2017
RM81L1S58	515	F1F3F5	HIF	58	9_12	GH_Tue	likeHIF:Est-1	2017
RM81L1S59	515	F1F3F5	HIF	59	9_15	GH_Tue	likeHIF:Est-1	2017
RM81L1S6	515	F1F3F5	HIF	6	27_12	F_Tue	likeHIF:Est-1	2017
RM81L1S60	515	F1F3F5	HIF	60	9_14	GH_Tue	likeHIF:Col-0	2017
RM81L1S61	515	F1F3F5	HIF	61	9_31	GH_Tue	likeHIF:Est-1	2017
RM81L1S62	515	F1F3F5	HIF	62	9_01	GH_Tue	likeHIF:Col-0	2017
RM81L1S63	515	F1F3F5	HIF	63	9_18	GH_Tue	likeHIF:Col-0	2017
RM81L1S65	515	F1F3F5	HIF	65	10_13	GH_Tue	likeHIF:Col-0	2017
RM81L1S67	515	F1F3F5	HIF	67	10_18	GH_Tue	likeHIF:Est-1	2017
RM81L1S68	515	F1F3F5	HIF	68	10_32	GH_Tue	likeHIF:Est-1	2017
RM81L1S69	515	F1F3F5	HIF	69	9_21	GH_Tue	likeHIF:Col-0	2017
RM81L1S7	515	F1F3F5	HIF	7	25_15	F_Tue	likeHIF:Est-1	2017
RM81L1S70	515	F1F3F5	HIF	70	9_35	GH_Tue	likeHIF:Est-1	2017
RM81L1S74	515	F1F3F5	HIF	74	9_33	GH_Tue	likeHIF:Est-1	2017
RM81L1S77	515	F1F3F5	HIF	77	10_39	GH_Tue	likeHIF:Est-1	2017
RM81L1S8	515	F1F3F5	HIF	8	27_14	F_Tue	likeHIF:Est-1	2017
RM81L1S9	515	F1F3F5	HIF	9	27_38	F_Tue	likeHIF:Est-1	2017
RM81L1S98	515	F2F4F6	CRISPR	2	4_28	GH_Tue	HIF:Est-1-1	2017
RM81L1S99	515	F2F4F6	CRISPR	3	6_14	GH_Tue	HIF:Est-1-1	2017
