OTU_ID	R211L5S10	R211L5S11	R211L5S12	R211L5S14	R211L5S15	R211L5S17	R211L5S1	R211L5S21	R211L5S22	R211L5S23	R211L5S26	R211L5S27	R211L5S29	R211L5S30	R211L5S33	R211L5S34	R211L5S35	R211L5S36	R211L5S37	R211L5S38	R211L5S39	R211L5S41	R211L5S42	R211L5S43	R211L5S46	R211L5S50	R211L5S53	R211L5S58	R211L5S5	R211L5S61	R211L5S66	R211L5S68	R211L5S69	R211L5S6	R211L5S70	R211L5S73	R211L5S74	R211L5S75	R211L5S78
Zotu1255	2	0	0	0	0	0	11	0	0	0	0	0	6	0	6	0	0	0	0	2	1	0	1	0	0	7	0	0	0	1	1	2	8	0	2	13	0	0	0
Zotu586	7	0	0	0	0	0	5	1	4	3	1	4	8	11	13	1	0	8	1	31	2	0	4	9	6	6	3	0	2	12	7	10	27	6	1	14	0	0	0
Zotu248	1	8	6	20	6	1	14	49	99	9	31	4	11	25	8	18	3	4	5	16	5	20	14	51	3	7	2	84	27	12	5	3	43	5	3	14	9	7	2
Zotu4248	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0
Zotu127	1	11	161	9	120	40	0	37	84	2	2	11	260	3	251	194	13	167	1	8	13	11	5	25	6	3	321	14	13	0	0	5	30	165	4	51	1	1	4
Zotu1882	2	0	0	0	1	0	0	0	0	0	0	0	1	3	4	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4
Zotu1095	2	0	0	0	1	0	2	0	0	0	0	1	0	15	3	8	0	0	0	0	0	0	0	2	0	3	5	0	0	1	1	2	16	0	0	0	0	0	0
Zotu364	4	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	27	0	2
Zotu80	4	44	120	358	107	0	332	71	482	202	20	77	92	48	4	240	39	13	7	416	45	42	63	12	10	20	14	74	30	17	76	126	10	384	49	22	24	3	6
Zotu1067	2	0	0	0	0	0	0	4	0	0	1	0	2	7	0	2	0	0	4	0	6	0	7	0	4	0	0	0	0	11	0	0	7	0	0	2	0	0	2
Zotu570	1	1	0	3	1	2	19	10	7	4	2	2	7	5	12	6	0	0	0	5	7	1	14	0	7	11	4	0	9	4	3	15	13	2	0	10	3	0	2
Zotu1018	1	0	0	1	0	1	4	0	0	1	0	1	2	0	0	3	0	0	1	1	17	2	3	4	0	5	7	1	5	4	0	0	5	0	0	3	0	0	0
Zotu1883	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	3	0	0	5	3	1	0	0	0	0	0	0	0	3	0	0	0
Zotu450	2	0	0	2	0	2	4	3	9	0	0	2	0	1	1	1	0	0	0	0	49	0	41	0	2	1	0	0	12	3	3	0	6	3	6	0	0	2	7
Zotu3135	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	2	2	0	0	0	1	2	5	1	0	0	0	0	0	0	1
Zotu90	1	38	2	10	16	0	47	1426	19	7	7	48	28	61	8	1155	0	3	7	4	7	17	12	2266	4	6	8	7	5	6	24	10	8	10	8	21	20	69	4
Zotu289	1	0	2	12	10	2	18	44	4	0	0	0	40	5	24	13	0	2	4	17	0	0	8	15	0	16	15	19	5	16	9	11	3	15	6	37	0	2	4
Zotu4474	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1413	1	2	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	0	2	0	2	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	8	0
Zotu304	4	3	0	26	27	0	5	15	3	1	3	10	2	19	2	104	24	4	0	3	4	0	4	2	1	0	1	4	26	4	3	0	7	15	0	0	37	0	0
Zotu549	1	7	3	2	1	0	26	0	1	0	0	1	2	3	4	5	4	0	3	0	15	3	2	8	0	4	0	0	26	3	0	23	0	11	9	0	1	0	1
Zotu911	4	2	0	3	3	0	23	3	1	2	4	0	5	1	9	3	0	0	0	3	8	8	5	0	0	0	0	1	1	2	0	0	3	0	5	0	0	0	0
Zotu635	3	6	0	2	1	5	37	4	0	0	6	2	1	8	0	1	9	0	1	0	0	6	3	3	2	6	0	1	1	3	0	13	12	0	1	2	9	16	0
Zotu2753	1	0	0	0	3	0	8	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
Zotu3726	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1801	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	6	2	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0
Zotu4473	1	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu344	1	3	5	35	12	2	75	2	0	4	4	1	1	11	11	0	0	1	35	0	1	0	0	3	3	0	5	0	29	0	2	1	12	0	4	0	0	12	0
