#RNA counts for selected genes
samples	environment	genotype	environmentGenotype	PR1	PDF1.2	ACD6	UBQ10	AOC1	AOC2	DTX18	EDS1	NPR1	NPR3	NPR4	PAD3	PDF1.3	PR5	SIB1	UGT71B5
R211L5S6	F-Z	Est1	F-Z_Est1	3.642345094	8.355862736	405.8625172	2904.026867	55.49103915	60.20455679	0.5	31.92345094	86.91449009	20.92524311	0.5	3.642345094	2.071172547	237.7470546	28.78110585	0.5
R211L5S8	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	3.391040052	7.333367395	93.27610348	2302.819169	60.1605538	134.2763079	0.5	25.46807318	71.19907036	8.64747651	13.37826932	3.128218229	2.602574583	191.3086434	6.544901927	0.7628218229
R211L5S10	F-Z	Est1	F-Z_Est1	1.71884853	7.813091182	240.6131605	2178.582324	227.2058266	427.0969856	0.5	13.90733383	57.78588092	6.594242651	13.90733383	5.375394121	0.5	193.0780678	13.90733383	0.5
R211L5S11	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	6.328444595	4.663174711	117.9015269	2593.32521	68.77606526	120.3994317	0.5	19.65060367	65.44552549	12.98952413	37.9685724	3.830539769	0.5	145.3784799	14.65479402	0.5
R211L5S12	F-Z	Est1	F-Z_Est1	2.322947322	22.37536786	441.6532519	2959.143503	46.07368304	102.58505	0.5	26.0212625	97.11620805	7.791789287	7.791789287	2.322947322	2.322947322	166.3882063	18.72947322	2.322947322
R211L5S14	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	4.233056293	2.988704196	123.6908577	2826.423614	83.87159055	144.8448433	0.5	30.36445035	88.84899894	19.16528147	26.63139405	0.5	1.744352098	78.89418216	15.43222517	4.233056293
R211L5S15	F-Z	Est1	F-Z_Est1	9.5044479	16.25778383	164.8311742	2764.865505	126.5622706	218.8578616	0.5	20.76000778	68.03335925	7.253335925	14.00667185	0.5	0.5	77.03780715	27.5133437	0.5
R211L5S16	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	2.327003846	0.5	82.71517306	2905.436115	117.4282461	223.3944692	0.5	11.46202307	22.42404615	4.154007691	11.46202307	0.5	0.5	93.67719613	5.981011537	0.5
R211L5S17	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	6.401156638	5.558134261	85.64526006	2269.073216	56.13947687	81.85165936	0.5	28.31973843	62.88365588	16.09591397	15.67440278	2.607555942	2.607555942	189.3370124	3.450578319	0.9215111884
R211L5S18	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	3.930743413	6.381274421	172.5272768	1704.109157	47.55019537	67.15444344	0.5	28.9261597	63.23359383	15.69329226	12.75265504	3.930743413	2.460424807	170.0767458	11.77244264	1.480212404
R211L5S21	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	6.950946945	59.09610142	99.95209873	2622.809933	148.8717797	351.0014507	0.5	20.92799866	61.78399598	11.78915715	11.78915715	1.037578912	8.026104769	121.4552552	9.638841505	1.037578912
R211L5S22	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	292.3926399	126.3926271	497.3859442	2740.057257	244.4865959	617.7081011	1.614094045	67.34564272	77.37248913	9.412752363	4.956376181	52.86242013	17.21141068	643.3322642	26.12416304	0.5
R211L5S23	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	11.31635554	31.04029799	116.2986299	3305.214745	94.02966261	68.57941428	0.5	15.770149	81.94079465	5.590049666	13.86138037	1.136256208	0.5	158.2915396	7.49881829	0.5
R211L5S24	F-Z	Est1	F-Z_Est1	6.564529476	7.031031743	175.4383503	2114.221773	83.53740359	162.842789	0.5	14.96157029	47.15022674	7.49753401	13.56206349	0.5	1.899506802	204.3614908	4.232018139	0.5
