CORNER	Samp2R1V4GI502comboCT	Samp6R1V4GI502comboCT	Samp10R1V4GI502comboCT	Samp12R1V4GI502comboCT	Samp15R1V4GI502comboCT	Samp16R1V4GI502comboCT	Samp20R1V4GI502comboCT	Samp21R1V4GI502comboCT	Samp25R1V4GI502comboCT	Samp28R1V4GI502comboCT	Samp29R1V4GI502comboCT	Samp34R1V4GI502comboCT	Samp35R1V4GI502comboCT	Samp36R1V4GI502comboCT	Samp40R1V4GI502comboCT	Samp43R1V4GI502comboCT	Samp44R1V4GI502comboCT	Samp45R1V4GI502comboCT	Samp47R1V4GI502comboCT	Samp51R1V4GI502comboCT	Samp52R1V4GI502comboCT	Samp55R1V4GI502comboCT	Samp57R1V4GI502comboCT	Samp16R1V4GI502comboAG	Samp69R1V4GI502comboCT	Samp18R1V4GI502comboAG	Samp85R1V4GI502comboCT	Samp90R1V4GI502comboCT	Samp94R1V4GI502comboCT	Samp2R1V4GI502comboAG	Samp21R1V4GI502comboAG	Samp24R1V4GI502comboAG	Samp26R1V4GI502comboAG	Samp27R1V4GI502comboAG	Samp28R1V4GI502comboAG	Samp33R1V4GI502comboAG	Samp34R1V4GI502comboAG	Samp35R1V4GI502comboAG	Samp38R1V4GI502comboAG	Samp41R1V4GI502comboAG	Samp43R1V4GI502comboAG	Samp45R1V4GI502comboAG	Samp47R1V4GI502comboAG	Samp54R1V4GI502comboAG	Samp57R1V4GI502comboAG	Samp63R1V4GI502comboAG	Samp68R1V4GI502comboAG	Samp75R1V4GI502comboAG	Samp77R1V4GI502comboAG	Samp81R1V4GI502comboAG	Samp83R1V4GI502comboAG	Samp84R1V4GI502comboAG	Samp88R1V4GI502comboAG
Zotu182	0	34	0	0	6	2	0	2	0	150	120	4	22	14	66	180	114	278	0	32	8	6	24	0	18	70	28	0	32	0	0	94	4	42	0	28	32	120	14	68	10	138	70	134	66	10	2	36	86	16	38	16	12
Zotu2544	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0
Zotu2545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	6	0	2
Zotu1181	0	24	0	0	0	0	0	0	0	0	0	0	0	12	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	34	0	0	0	6	0	0	0	0	0	38	0	10	0	0	0	0	0	0	0	0
Zotu3158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Zotu286	2	0	0	0	0	0	0	44	0	10	0	0	170	14	204	68	0	4	14	20	6	6	68	0	20	2	36	2	0	26	0	30	158	0	0	36	48	0	0	0	0	28	2	38	0	16	0	2	34	8	0	18	0
Zotu1363	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu7271	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Zotu56	2	64	2	0	42	248	2	338	26	838	160	76	668	48	468	350	794	128	244	70	34	138	414	182	80	158	224	158	186	166	30	280	168	124	132	244	148	138	118	528	252	494	90	468	842	66	16	154	556	580	114	58	66
